Facility.ID,Measure.ID.x,Value,Footnote.x,Start.Date.x,End.Date.x,Facility.Name.x,State.x,Measure.Name.x,Number.of.Discharges,Footnote.y,Excess.Readmission.Ratio,Predicted.Readmission.Rate,Expected.Readmission.Rate,Number.of.Readmissions,Start.Date.y,End.Date.y,Facility.Name.y,Address.x,City.x,State.y,ZIP.Code.x,County.Name.x,Phone.Number.x,Measure.ID.y,Measure.Name.y,Score.x,Footnote.x.x,Start.Date.x.x,End.Date.x.x,Facility.Name,Address.y,City.y,State,ZIP.Code.y,County.Name.y,Phone.Number.y,Measure.ID,Measure.Name,Compared.to.National,Denominator,Score.y,Lower.Estimate,Higher.Estimate,Footnote.y.y,Start.Date.y.y,End.Date.y.y
380060,MSPB-1,0.871528,NA,1/1/2021,12/31/2021,ADVENTIST HEALTH PORTLAND,OR,READM-30-HF-HRRP,229,NA,0.9314,19.4865,20.9216,40,7/1/2018,6/30/2021,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,OP-39,Breast Cancer Screening Recall Rates,6.5,NA,7/1/2020,6/30/2021,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.87,0.52,1.22,NA,7/1/2019,6/30/2021
380005,MSPB-1,0.936152,NA,1/1/2021,12/31/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,OR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,7/1/2018,6/30/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,OR,97520,JACKSON,(541) 201-4000,OP-10,Abdomen CT Use of Contrast Material,5.6,NA,7/1/2020,6/30/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,OR,97520,JACKSON,(541) 201-4000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.94,0.49,1.39,NA,7/1/2019,6/30/2021
380002,MSPB-1,0.901572,NA,1/1/2021,12/31/2021,ASANTE THREE RIVERS MEDICAL CENTER,OR,READM-30-HF-HRRP,172,NA,0.8379,16.4016,19.5742,17,7/1/2018,6/30/2021,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,OP-10,Abdomen CT Use of Contrast Material,5.3,NA,7/1/2020,6/30/2021,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.73,0.36,1.09,NA,7/1/2019,6/30/2021
380090,MSPB-1,0.845997,NA,1/1/2021,12/31/2021,BAY AREA HOSPITAL,OR,READM-30-HF-HRRP,406,NA,0.9718,21.156,21.769,84,7/1/2018,6/30/2021,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,COOS,(541) 269-8135,OP-39,Breast Cancer Screening Recall Rates,8,NA,7/1/2020,6/30/2021,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,COOS,(541) 269-8135,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.18,0.83,1.53,NA,7/1/2019,6/30/2021
380014,MSPB-1,0.882605,NA,1/1/2021,12/31/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,READM-30-HF-HRRP,228,NA,0.8708,16.5385,18.9914,29,7/1/2018,6/30/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,BENTON,(541) 768-5111,OP-39,Breast Cancer Screening Recall Rates,8.6,NA,7/1/2020,6/30/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,BENTON,(541) 768-5111,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.79,0.46,1.12,NA,7/1/2019,6/30/2021
380103,MSPB-1,0.796023,NA,1/1/2021,12/31/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,OR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,7/1/2018,6/30/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,WASHINGTON,(971) 310-1000,OP-10,Abdomen CT Use of Contrast Material,Not Available,5,7/1/2020,6/30/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,WASHINGTON,(971) 310-1000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.98,0.53,1.43,NA,7/1/2019,6/30/2021
380091,MSPB-1,0.832663,NA,1/1/2021,12/31/2021,KAISER SUNNYSIDE MEDICAL CENTER,OR,READM-30-HF-HRRP,N/A,NA,0.9775,21.7218,22.2224,Too Few to Report,7/1/2018,6/30/2021,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,CLACKAMAS,(503) 652-2880,OP-10,Abdomen CT Use of Contrast Material,Not Available,5,7/1/2020,6/30/2021,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,CLACKAMAS,(503) 652-2880,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.8,0.41,1.19,NA,7/1/2019,6/30/2021
380007,MSPB-1,0.958616,NA,1/1/2021,12/31/2021,LEGACY EMANUEL MEDICAL CENTER,OR,READM-30-HF-HRRP,139,NA,0.9895,21.3688,21.5955,29,7/1/2018,6/30/2021,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,OP-10,Abdomen CT Use of Contrast Material,2.1,NA,7/1/2020,6/30/2021,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.93,0.62,1.24,NA,7/1/2019,6/30/2021
380017,MSPB-1,0.927488,NA,1/1/2021,12/31/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,OR,READM-30-HF-HRRP,219,NA,1.0058,21.2873,21.165,47,7/1/2018,6/30/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,OR,97210,MULTNOMAH,(503) 413-7682,OP-8,MRI Lumbar Spine for Low Back Pain,53.3,NA,7/1/2020,6/30/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,OR,97210,MULTNOMAH,(503) 413-7682,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.01,0.7,1.32,NA,7/1/2019,6/30/2021
380089,MSPB-1,0.895391,NA,1/1/2021,12/31/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,OR,READM-30-HF-HRRP,225,NA,0.9671,18.2817,18.9042,39,7/1/2018,6/30/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,WASHINGTON,(503) 692-2182,OP-39,Breast Cancer Screening Recall Rates,8.7,NA,7/1/2020,6/30/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,WASHINGTON,(503) 692-2182,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.86,0.48,1.23,NA,7/1/2019,6/30/2021
380025,MSPB-1,0.858676,NA,1/1/2021,12/31/2021,LEGACY MOUNT HOOD MEDICAL CENTER,OR,READM-30-HF-HRRP,167,NA,1.027,21.1074,20.553,37,7/1/2018,6/30/2021,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK STREET,GRESHAM,OR,97030,MULTNOMAH,(503) 674-1122,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,NA,7/1/2020,6/30/2021,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK STREET,GRESHAM,OR,97030,MULTNOMAH,(503) 674-1122,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.86,0.44,1.27,NA,7/1/2019,6/30/2021
380029,MSPB-1,0.896715,NA,1/1/2021,12/31/2021,LEGACY SILVERTON MEDICAL CENTER,OR,READM-30-HF-HRRP,N/A,NA,0.995,18.5809,18.6739,Too Few to Report,7/1/2018,6/30/2021,LEGACY SILVERTON MEDICAL CENTER,342 FAIRVIEW STREET,SILVERTON,OR,97381,MARION,(503) 873-1500,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,7/1/2020,6/30/2021,LEGACY SILVERTON MEDICAL CENTER,342 FAIRVIEW STREET,SILVERTON,OR,97381,MARION,(503) 873-1500,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.95,0.49,1.4,NA,7/1/2019,6/30/2021
380027,MSPB-1,0.846141,NA,1/1/2021,12/31/2021,MERCY MEDICAL CENTER,OR,READM-30-HF-HRRP,278,NA,0.8635,17.3968,20.1468,39,7/1/2018,6/30/2021,MERCY MEDICAL CENTER,2700 NW STEWART PARKWAY,ROSEBURG,OR,97471,DOUGLAS,(541) 673-0611,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,2.3,NA,7/1/2020,6/30/2021,MERCY MEDICAL CENTER,2700 NW STEWART PARKWAY,ROSEBURG,OR,97471,DOUGLAS,(541) 673-0611,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.87,0.46,1.28,NA,7/1/2019,6/30/2021
380001,MSPB-1,0.8736,NA,1/1/2021,12/31/2021,MID-COLUMBIA MEDICAL CENTER,OR,READM-30-HF-HRRP,79,NA,0.961,18.4059,19.1536,12,7/1/2018,6/30/2021,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,WASCO,(541) 296-1111,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,2.1,NA,7/1/2020,6/30/2021,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,WASCO,(541) 296-1111,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.17,0.73,1.6,NA,7/1/2019,6/30/2021
380009,MSPB-1,0.975054,NA,1/1/2021,12/31/2021,OHSU HOSPITAL AND CLINICS,OR,READM-30-HF-HRRP,226,NA,0.9156,20.2703,22.1391,40,7/1/2018,6/30/2021,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,MULTNOMAH,(503) 494-6245,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6.5,NA,7/1/2020,6/30/2021,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,MULTNOMAH,(503) 494-6245,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.82,0.62,1.01,NA,7/1/2019,6/30/2021
380082,MSPB-1,0.876234,NA,1/1/2021,12/31/2021,PROVIDENCE MILWAUKIE HOSPITAL,OR,READM-30-HF-HRRP,90,NA,0.9505,18.0215,18.9599,13,7/1/2018,6/30/2021,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,OR,97222,CLACKAMAS,(503) 513-8336,OP-10,Abdomen CT Use of Contrast Material,4.6,NA,7/1/2020,6/30/2021,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,OR,97222,CLACKAMAS,(503) 513-8336,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.08,0.64,1.53,NA,7/1/2019,6/30/2021
380037,MSPB-1,0.824626,NA,1/1/2021,12/31/2021,PROVIDENCE NEWBERG MEDICAL CENTER,OR,READM-30-HF-HRRP,111,NA,1.0181,20.564,20.1993,24,7/1/2018,6/30/2021,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,OR,97132,YAMHILL,(503) 537-1555,OP-10,Abdomen CT Use of Contrast Material,8.6,NA,7/1/2020,6/30/2021,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,OR,97132,YAMHILL,(503) 537-1555,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.95,0.52,1.39,NA,7/1/2019,6/30/2021
380061,MSPB-1,0.9298,NA,1/1/2021,12/31/2021,PROVIDENCE PORTLAND MEDICAL CENTER,OR,READM-30-HF-HRRP,359,NA,0.9325,19.6579,21.0819,66,7/1/2018,6/30/2021,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,OR,97213,MULTNOMAH,(503) 215-1111,OP-8,MRI Lumbar Spine for Low Back Pain,44.9,NA,7/1/2020,6/30/2021,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,OR,97213,MULTNOMAH,(503) 215-1111,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.85,0.59,1.11,NA,7/1/2019,6/30/2021
380004,MSPB-1,0.923182,NA,1/1/2021,12/31/2021,PROVIDENCE ST VINCENT MEDICAL CENTER,OR,READM-30-HF-HRRP,597,NA,0.8153,16.2286,19.9045,84,7/1/2018,6/30/2021,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,PORTLAND,OR,97225,WASHINGTON,(503) 216-2213,OP-39,Breast Cancer Screening Recall Rates,6.5,NA,7/1/2020,6/30/2021,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,PORTLAND,OR,97225,WASHINGTON,(503) 216-2213,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1,0.78,1.22,NA,7/1/2019,6/30/2021
380038,MSPB-1,0.861335,NA,1/1/2021,12/31/2021,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,OR,READM-30-HF-HRRP,94,NA,0.9779,17.4596,17.855,15,7/1/2018,6/30/2021,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,OREGON CITY,OR,97045,CLACKAMAS,(503) 659-6915,OP-10,Abdomen CT Use of Contrast Material,5.9,NA,7/1/2020,6/30/2021,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,OREGON CITY,OR,97045,CLACKAMAS,(503) 659-6915,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.91,0.48,1.35,NA,7/1/2019,6/30/2021
380102,MSPB-1,0.907755,NA,1/1/2021,12/31/2021,SACRED HEART MEDICAL CENTER - RIVERBEND,OR,READM-30-HF-HRRP,605,NA,0.9742,20.4498,20.9914,122,7/1/2018,6/30/2021,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,LANE,(541) 222-7300,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,7/1/2020,6/30/2021,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,LANE,(541) 222-7300,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Better Than the National Value,Not Applicable,0.75,0.53,0.97,NA,7/1/2019,6/30/2021
380033,MSPB-1,0.888474,NA,1/1/2021,12/31/2021,SACRED HEART UNIVERSITY DISTRICT,OR,READM-30-HF-HRRP,N/A,NA,0.9633,16.6223,17.255,Too Few to Report,7/1/2018,6/30/2021,SACRED HEART UNIVERSITY DISTRICT,1255 HILYARD STREET,EUGENE,OR,97401,LANE,(541) 686-7300,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,7,7/1/2020,6/30/2021,SACRED HEART UNIVERSITY DISTRICT,1255 HILYARD STREET,EUGENE,OR,97401,LANE,(541) 686-7300,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Applicable,Not Available,Not Available,Not Available,1,7/1/2019,6/30/2021
380052,MSPB-1,0.909023,NA,1/1/2021,12/31/2021,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",OR,READM-30-HF-HRRP,59,NA,1.0183,20.0394,19.6791,13,7/1/2018,6/30/2021,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",351 SW 9TH STREET,ONTARIO,OR,97914,MALHEUR,(541) 524-7730,OP-39,Breast Cancer Screening Recall Rates,6.9,NA,7/1/2020,6/30/2021,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",351 SW 9TH STREET,ONTARIO,OR,97914,MALHEUR,(541) 524-7730,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.92,0.48,1.36,NA,7/1/2019,6/30/2021
380022,MSPB-1,0.937358,NA,1/1/2021,12/31/2021,SAMARITAN ALBANY GENERAL HOSPITAL,OR,READM-30-HF-HRRP,N/A,NA,0.9751,18.2857,18.7527,Too Few to Report,7/1/2018,6/30/2021,SAMARITAN ALBANY GENERAL HOSPITAL,1046 6TH AVENUE SW,ALBANY,OR,97321,LINN,(541) 812-4000,OP-39,Breast Cancer Screening Recall Rates,9.9,NA,7/1/2020,6/30/2021,SAMARITAN ALBANY GENERAL HOSPITAL,1046 6TH AVENUE SW,ALBANY,OR,97321,LINN,(541) 812-4000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.97,0.53,1.4,NA,7/1/2019,6/30/2021
380056,MSPB-1,0.92643,NA,1/1/2021,12/31/2021,SANTIAM HOSPITAL,OR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,7/1/2018,6/30/2021,SANTIAM HOSPITAL,1401 N 10TH AVENUE,STAYTON,OR,97383,MARION,(503) 769-2175,OP-39,Breast Cancer Screening Recall Rates,2.4,NA,7/1/2020,6/30/2021,SANTIAM HOSPITAL,1401 N 10TH AVENUE,STAYTON,OR,97383,MARION,(503) 769-2175,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.98,0.51,1.44,NA,7/1/2019,6/30/2021
380050,MSPB-1,0.828384,NA,1/1/2021,12/31/2021,SKY LAKES MEDICAL CENTER,OR,READM-30-HF-HRRP,205,NA,0.8695,17.5002,20.1267,27,7/1/2018,6/30/2021,SKY LAKES MEDICAL CENTER,2865 DAGGETT AVENUE,KLAMATH FALLS,OR,97601,KLAMATH,(541) 274-6150,OP-39,Breast Cancer Screening Recall Rates,15.9,NA,7/1/2020,6/30/2021,SKY LAKES MEDICAL CENTER,2865 DAGGETT AVENUE,KLAMATH FALLS,OR,97601,KLAMATH,(541) 274-6150,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Worse Than the National Value,Not Applicable,1.6,1.2,2.01,NA,7/1/2019,6/30/2021
380071,MSPB-1,0.88872,NA,1/1/2021,12/31/2021,WILLAMETTE VALLEY MEDICAL CENTER,OR,READM-30-HF-HRRP,143,NA,1.0561,20.5955,19.5014,33,7/1/2018,6/30/2021,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE.,MCMINNVILLE,OR,97128,YAMHILL,(503) 472-6131,OP-39,Breast Cancer Screening Recall Rates,5.3,NA,7/1/2020,6/30/2021,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE.,MCMINNVILLE,OR,97128,YAMHILL,(503) 472-6131,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1,0.57,1.43,NA,7/1/2019,6/30/2021
